2015-07-19,1
2015-07-20,125
2015-07-21,216
2015-07-22,324
2015-07-23,483
2015-07-24,539
2015-07-25,389
2015-07-26,527
2015-07-27,402
2015-07-28,306
2015-07-29,569
2015-07-30,803
2015-07-31,960
2015-08-01,1209
2015-08-02,1355
2015-08-03,1299
2015-08-04,1337
2015-08-05,1532
2015-08-06,1544
2015-08-07,1820
2015-08-08,1865
2015-08-09,1686
2015-08-10,1831
2015-08-11,1694
2015-08-12,1588
2015-08-13,1574
2015-08-14,1673
2015-08-15,1875
2015-08-16,1687
2015-08-17,1675
2015-08-18,1896
2015-08-19,1934
2015-08-20,1881
2015-08-21,1801
2015-08-22,1688
2015-08-23,1916
2015-08-24,1816
2015-08-25,1942
2015-08-26,2235
2015-08-27,2437
2015-08-28,2656
2015-08-29,2870
2015-08-30,2862
2015-08-31,2728
2015-09-01,2528
2015-09-02,2805
2015-09-03,2617
2015-09-04,2753
2015-09-05,2773
2015-09-06,2741
2015-09-07,2965
2015-09-08,3001
2015-09-09,3074
2015-09-10,3071
2015-09-11,3209
2015-09-12,3157
2015-09-13,3156
2015-09-14,3382
2015-09-15,3485
2015-09-16,3478
2015-09-17,3638
2015-09-18,3751
2015-09-19,3556
2015-09-20,3695
2015-09-21,3857
2015-09-22,3940
2015-09-23,4012
2015-09-24,4179
2015-09-25,4067
2015-09-26,4266
2015-09-27,4109
2015-09-28,4296
2015-09-29,4211
2015-09-30,4116
2015-10-01,4219
2015-10-02,4042
2015-10-03,3866
2015-10-04,3938
2015-10-05,4078
2015-10-06,4040
2015-10-07,4143
2015-10-08,3980
2015-10-09,3814
2015-10-10,3640
2015-10-11,3877
2015-10-12,3941
2015-10-13,4201
2015-10-14,4016
2015-10-15,3874
2015-10-16,3682
2015-10-17,3530
2015-10-18,3730
2015-10-19,3665
2015-10-20,3507
2015-10-21,3605
2015-10-22,3758
2015-10-23,3786
2015-10-24,3781
2015-10-25,3652
2015-10-26,3925
