2001-01-02,27.85,27.85,27.85,27.85,0
2001-01-03,28.16,28.16,28.16,28.16,0
2001-01-04,28.55,28.55,28.55,28.55,0
2001-01-05,27.27,27.27,27.27,27.27,0
2001-01-08,28.33,28.33,28.33,28.33,0
2001-01-09,27.74,27.74,27.74,27.74,0
2001-01-10,28.18,28.18,28.18,28.18,0
2001-01-11,28.13,28.13,28.13,28.13,0
2001-01-12,27.09,27.09,27.09,27.09,0
2001-01-15,27.32,27.32,27.32,27.32,0
2001-01-16,26.68,26.68,26.68,26.68,0
2001-01-17,26.94,26.94,26.94,26.94,0
2001-01-18,25.13,25.13,25.13,25.13,0
2001-01-19,23.11,23.11,23.11,23.11,0
2001-01-22,23.22,23.22,23.22,23.22,0
2001-01-23,24.52,24.52,24.52,24.52,0
2001-01-29,26.24,26.24,26.24,26.24,0
2001-01-30,26.45,26.45,26.45,26.45,0
2001-01-31,27.61,27.61,27.61,27.61,0
2001-02-01,27.25,27.25,27.25,27.25,0
2001-02-02,25.93,25.93,25.93,25.93,0
2001-02-05,26.72,26.72,26.72,26.72,0
2001-02-06,26.02,26.02,26.02,26.02,0
2001-02-07,23.86,23.86,23.86,23.86,0
2001-02-08,23.69,23.69,23.69,23.69,0
2001-02-09,23.56,23.56,23.56,23.56,0
2001-02-12,24.48,24.48,24.48,24.48,0
2001-02-13,23.52,23.52,23.52,23.52,0
2001-02-14,23.4,23.4,23.4,23.4,0
2001-02-15,23.17,23.17,23.17,23.17,0
2001-02-16,22.99,22.99,22.99,22.99,0
2001-02-19,22.56,22.56,22.56,22.56,0
2001-02-20,21.94,21.94,21.94,21.94,0
2001-02-21,23.22,23.22,23.22,23.22,0
2001-02-22,25.22,25.22,25.22,25.22,0
2001-02-23,23.61,23.61,23.61,23.61,0
2001-02-26,24.3,24.3,24.3,24.3,0
2001-02-27,24.81,24.81,24.81,24.81,0
2001-02-28,24.54,24.54,24.54,24.54,0
2001-03-01,24.71,24.71,24.71,24.71,0
2001-03-02,26.98,26.98,26.98,26.98,0
2001-03-05,26.86,26.86,26.86,26.86,0
2001-03-06,26.16,26.16,26.16,26.16,0
2001-03-07,25.76,25.76,25.76,25.76,0
2001-03-08,24.72,24.72,24.72,24.72,0
2001-03-09,24.52,24.52,24.52,24.52,0
2001-03-12,26.52,26.52,26.52,26.52,0
2001-03-13,26.75,26.75,26.75,26.75,0
2001-03-14,27.09,27.09,27.09,27.09,0
2001-03-15,28.43,28.43,28.43,28.43,0
2001-03-16,27.81,27.81,27.81,27.81,0
2001-03-19,28.74,28.74,28.74,28.74,0
2001-03-20,28.85,28.85,28.85,28.85,0
2001-03-21,29.08,29.08,29.08,29.08,0
2001-03-22,31.12,31.12,31.12,31.12,0
2001-03-23,31.76,31.76,31.76,31.76,0
2001-03-26,29.97,29.97,29.97,29.97,0
2001-03-27,30.07,30.07,30.07,30.07,0
2001-03-28,30.22,30.22,30.22,30.22,0
2001-03-29,30.46,30.46,30.46,30.46,0
2001-03-30,29.43,29.43,29.43,29.43,0
2001-04-02,29.75,29.75,29.75,29.75,0
2001-04-03,29.25,29.25,29.25,29.25,0
2001-04-04,29.58,29.58,29.58,29.58,0
2001-04-06,30.47,30.47,30.47,30.47,0
2001-04-09,30.98,30.98,30.98,30.98,0
2001-04-10,29.02,29.02,29.02,29.02,0
2001-04-11,28.43,28.43,28.43,28.43,0
