2013-08-01,46.1250,46.1250,46.1250,46.1250,250
2013-08-02,47.1250,47.1250,47.1250,47.1250,250
2013-08-03,46.4375,46.4375,46.4375,46.4375,375
2013-08-04,46.9375,46.9375,46.9375,46.9375,375
2013-08-05,44.9375,44.9375,44.9375,44.9375,375
2013-08-06,44.2500,44.2500,44.2500,44.2500,500
2013-08-07,44.6250,44.6250,44.6250,44.6250,250
2013-08-08,45.7500,45.7500,45.7500,45.7500,500
2013-08-09,47.8125,47.8125,47.8125,47.8125,125
2013-08-10,47.5625,47.5625,47.5625,47.5625,625
2013-08-11,47.0000,47.0000,47.0000,47.0000,000
2013-08-12,44.5625,44.5625,44.5625,44.5625,625
2013-08-13,46.3125,46.3125,46.3125,46.3125,125
2013-08-14,47.6875,47.6875,47.6875,47.6875,875
2013-08-15,46.6875,46.6875,46.6875,46.6875,875
2013-08-16,45.6875,45.6875,45.6875,45.6875,875
2013-08-17,43.0625,43.0625,43.0625,43.0625,625
2013-08-18,43.5625,43.5625,43.5625,43.5625,625
2013-08-19,44.8750,44.8750,44.8750,44.8750,750
2013-08-20,43.6875,43.6875,43.6875,43.6875,875
