2015-07-19,456
2015-07-20,854
2015-07-21,1452
2015-07-22,2437
2015-07-23,3154
2015-07-24,3341
2015-07-25,4306
2015-07-26,4925
2015-07-27,5551
2015-07-28,6058
2015-07-29,6137
2015-07-30,6199
2015-07-31,6713
2015-08-01,7009
2015-08-02,7107
2015-08-03,7392
2015-08-04,8213
2015-08-05,9041
2015-08-06,9095
2015-08-07,9572
2015-08-08,9726
2015-08-09,10352
2015-08-10,10666
2015-08-11,11509
2015-08-12,12350
2015-08-13,12791
2015-08-14,13263
2015-08-15,13275
2015-08-16,14087
2015-08-17,14578
2015-08-18,15363
2015-08-19,16322
2015-08-20,16799
2015-08-21,16942
2015-08-22,17243
2015-08-23,18161
2015-08-24,18285
2015-08-25,19104
2015-08-26,19577
2015-08-27,19806
2015-08-28,20375
2015-08-29,21277
2015-08-30,21822
2015-08-31,22264
2015-09-01,22910
2015-09-02,23689
2015-09-03,23796
2015-09-04,23832
2015-09-05,23846
2015-09-06,24198
2015-09-07,24408
2015-09-08,24680
2015-09-09,25652
2015-09-10,25849
2015-09-11,26395
2015-09-12,27198
2015-09-13,27336
2015-09-14,27944
2015-09-15,28807
2015-09-16,29387
2015-09-17,29712
2015-09-18,30397
2015-09-19,30498
2015-09-20,30729
2015-09-21,31357
2015-09-22,32240
2015-09-23,32844
2015-09-24,33590
2015-09-25,33955
2015-09-26,34538
2015-09-27,35174
2015-09-28,35659
2015-09-29,36018
2015-09-30,36219
2015-10-01,36282
2015-10-02,36309
2015-10-03,36658
2015-10-04,37446
2015-10-05,38246
2015-10-06,38590
2015-10-07,38677
2015-10-08,39251
2015-10-09,39720
2015-10-10,39720
2015-10-11,39720
2015-10-12,40196
2015-10-13,40747
2015-10-14,40788
2015-10-15,41748
2015-10-16,42197
2015-10-17,42911
2015-10-18,43097
2015-10-19,43720
2015-10-20,44081
2015-10-21,44784
2015-10-22,45660
2015-10-23,46620
2015-10-24,47020
2015-10-25,47827
2015-10-26,48533
